Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,50000,400,0,27396,2767.43,8.000%,503.29659,366.27,52.45,745.2
TOTAL,50000,400,0,27396,2767.43,8.000%,503.29659,366.27,52.45,745.2
